Playlist ID,Playlist Name,Playlist URL,Playlist Songs
2pnop4rfcyjGCVBAvzRXqX,the sound of Manila sound,https://open.spotify.com/playlist/2pnop4rfcyjGCVBAvzRXqX,85
5JdttIYzORolkaZOiAmaDN,the Sound of Pinoy Rock,https://open.spotify.com/playlist/5JdttIYzORolkaZOiAmaDN,473
3B084Cju5o7fea2KaVn3mS,the Sound of Classic OPM,https://open.spotify.com/playlist/3B084Cju5o7fea2KaVn3mS,382
5166vpEenpiy4kVU9XafbS,the Sound of Pinoy Indie,https://open.spotify.com/playlist/5166vpEenpiy4kVU9XafbS,356
5ex8fSbjbwDRISo8aZwHBo,A ♀Filter for Pinoy Indie,https://open.spotify.com/playlist/5ex8fSbjbwDRISo8aZwHBo,90
37i9dQZF1DX0iFfuXuP4Pm,Tatak Pinoy,https://open.spotify.com/playlist/37i9dQZF1DX0iFfuXuP4Pm,50
293lyc38kzZPDmbbhmufEP,Roadtrip OPM 90s-2000s BANDS,https://open.spotify.com/playlist/293lyc38kzZPDmbbhmufEP,133
7qCxm40IWjCworo3GNJfs5,Best OPM Rap Compilation PH,https://open.spotify.com/playlist/7qCxm40IWjCworo3GNJfs5,68
1XZziwW7BJQEBHewndZYx1,Trending OPM Hits 2025,https://open.spotify.com/playlist/1XZziwW7BJQEBHewndZYx1,326
0CvLykzbinA5HaG82MDPUW,Pinoy HIPHOP 2025,https://open.spotify.com/playlist/0CvLykzbinA5HaG82MDPUW,74
37i9dQZF1DX4olOMiqFeqU,OPM Favorites,https://open.spotify.com/playlist/37i9dQZF1DX4olOMiqFeqU,50
37i9dQZF1DWZpPC3clG38j,Pinoy Reggae,https://open.spotify.com/playlist/37i9dQZF1DWZpPC3clG38j,50
77YbdoKEekF97RuE22vcYc,The Best of Pinoy Bands,https://open.spotify.com/playlist/77YbdoKEekF97RuE22vcYc,96
1RatVZEeiZzC7P785mVeWS,OPM 2000s(Batang 90s),https://open.spotify.com/playlist/1RatVZEeiZzC7P785mVeWS,192
54AnWifFJbMOeFhqUdm9Xw,Pinoy alternative/rock/90's/2000s,https://open.spotify.com/playlist/54AnWifFJbMOeFhqUdm9Xw,78
26qkpK6WCxDQAAo39IgcaD,pinoy songs 2010-2016,https://open.spotify.com/playlist/26qkpK6WCxDQAAo39IgcaD,194
7k9PaZO3HthSwuKLA7cFop,Pinoy Rnb 2025 💜,https://open.spotify.com/playlist/7k9PaZO3HthSwuKLA7cFop,124
43AaXyvSwWOhAavTgZYwKC,drunk filipino karaoke songs,https://open.spotify.com/playlist/43AaXyvSwWOhAavTgZYwKC,138
3GYqQKXelPCVWk4UwhRGed,OPM Best Pinoy Pampatulog Songs,https://open.spotify.com/playlist/3GYqQKXelPCVWk4UwhRGed,197
4oW2mL46K3LTIqUi9iJZEO,Pinoy Metal/Rock,https://open.spotify.com/playlist/4oW2mL46K3LTIqUi9iJZEO,54
2ub6jaQbRFqL3nv2Q1XcPW,Pinoy Top Wish 107.5 Songs 2024,https://open.spotify.com/playlist/2ub6jaQbRFqL3nv2Q1XcPW,183
0l3xByPNbH4OWKohjLe7Cb,Pinoy Love Songs 2025 💜,https://open.spotify.com/playlist/0l3xByPNbH4OWKohjLe7Cb,195
1DPCU9lRJLtFTScSm9TgXw,Pinoy Hugot Songs 2025 😭,https://open.spotify.com/playlist/1DPCU9lRJLtFTScSm9TgXw,126
4qcVGk54fXR78pxKmBVB49,BINI - ALL SONGS,https://open.spotify.com/playlist/4qcVGk54fXR78pxKmBVB49,33
37i9dQZF1DX28Gi0d1GdxX,This Is Moira Dela Torre,https://open.spotify.com/playlist/37i9dQZF1DX28Gi0d1GdxX,65
37i9dQZF1DWT0w08woPkpO,This is Sponge Cola,https://open.spotify.com/playlist/37i9dQZF1DWT0w08woPkpO,53
37i9dQZF1DWT3P4sxYhgMi,This is Ben&Ben,https://open.spotify.com/playlist/37i9dQZF1DWT3P4sxYhgMi,56
37i9dQZF1DXdYSRyVvQUEi,This is December Avenue,https://open.spotify.com/playlist/37i9dQZF1DXdYSRyVvQUEi,35
